Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","CP_Radial_D5.0mm_P2.00mm",202.600000,-114.544888,-90.000000,top
"C2","220uF","CP_Radial_D5.0mm_P2.00mm",209.700000,-122.800000,90.000000,top
"D1","LED","LED_D5.0mm",196.400000,-110.725000,-90.000000,top
"D4","D_Schottky_Filled","D_DO-41_SOD81_P12.70mm_Horizontal",211.350000,-89.500000,180.000000,top
"D5","D_Schottky_Filled","D_DO-41_SOD81_P12.70mm_Horizontal",195.000000,-92.100000,-90.000000,top
"D8","D_Schottky_Filled","D_DO-41_SOD81_P12.70mm_Horizontal",199.100000,-107.100000,90.000000,top
"D9","D_Schottky_Filled","D_DO-41_SOD81_P12.70mm_Horizontal",190.750000,-104.800000,90.000000,top
"J1","12V Source","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",209.400000,-116.940000,90.000000,top
"J3","Output A","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",194.700000,-86.900000,180.000000,top
"J5","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",115.250000,-110.540000,180.000000,top
"J6","Conn_02x19_Odd_Even","PinSocket_2x19_P2.54mm_Vertical",125.000000,-85.000000,0.000000,top
"J7","Conn_02x19_Odd_Even","PinSocket_2x19_P2.54mm_Vertical",186.000000,-85.000000,0.000000,top
"J8","Conn_01x06","PinSocket_1x06_P2.54mm_Vertical",194.300000,-117.700000,0.000000,top
"JP1","Jumper_Bridged","PinHeader_1x02_P2.54mm_Vertical",203.700000,-120.300000,-90.000000,top
"R1","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",198.000000,-121.440000,90.000000,top
"U1","LM78M05_TO220","TO-220-3_Vertical",204.000000,-124.000000,180.000000,top
"U2","L298N","TO127P2020X500X2100-15",202.342500,-92.910000,0.000000,top
